Year,State,State.abb,Age,Gender,New_heart_disease_crude_value,New_teeth_removal_value,New_dental_visit_value,New_grocery_stores_value,New_supercenter_value,New_convenience_stores_value,New_fastfood_restaurant_value,New_fullservice_restaurant_value,New_foodinsecurity_value,New_farmersmarket_value
1999,Delaware,DE,85+,Female,7332.3,47.9,73,630.47,54.13,2331.6,2096.86,2169.3,6.80,47.71
1999,Delaware,DE,55-64,Male,391.2,47.9,73,764.22,56.18,2840.53,2546.21,2637.64,6.80,45.17
1999,District of Columbia,DC,45-54,Male,305.4,46.3,76.1,364.84,50.05,1320.76,1204.38,1239.08,6.80,52.32
1999,District of Columbia,DC,85+,Male,7891.4,46.3,76.1,675.79,41.04,2504.05,2249.12,2327.99,6.80,63.33
1999,District of Columbia,DC,75-84,Male,3321.4,46.3,76.1,986.74,59.6,3687.33,3293.85,3416.9,6.80,41.94
1999,District of Columbia,DC,85+,Female,7135.1,46.3,76.1,4663.77,116.06,17679.75,15647.91,16293.35,6.80,49.58
1999,District of Columbia,DC,45-54,Female,128.7,46.3,76.1,7927.73,166.18,30100.34,26614.19,27723.33,6.80,57.21
1999,District of Columbia,DC,65-74,Male,1393.9,46.3,76.1,8505.63,175.05,32299.45,28555.81,29747.04,6.80,297.5
1999,District of Columbia,DC,55-64,Female,328.7,46.3,76.1,7807.58,164.33,29643.14,26210.52,27302.59,6.81,537.79
1999,District of Columbia,DC,55-64,Male,562,46.3,76.1,7583.36,160.89,28789.89,25457.18,26517.39,6.75,598.29
1999,District of Columbia,DC,65-74,Female,792.2,46.3,76.1,7761.69,163.63,29468.5,26056.33,27141.88,6.98,553.06
1999,District of Columbia,DC,75-84,Female,2186.2,46.3,76.1,7841.75,164.86,29773.15,26325.31,27422.23,7.34,531.67
1999,District of Columbia,DC,35-44,Female,52.2,46.3,76.1,7798.01,164.18,29606.68,26178.33,27269.04,7.30,542.68
1999,District of Columbia,DC,35-44,Male,52.2,46.3,76.1,7770.99,163.77,29503.9,26087.58,27174.46,7.29,549.83
1999,Florida,FL,45-54,Male,169.8,42.6,69.3,7781.17,163.93,29542.64,26121.79,27210.11,7.30,547.29
1999,Florida,FL,85+,Male,7966.6,42.6,69.3,7790.08,164.06,29576.47,26151.66,27241.23,7.30,545.01
1999,Florida,FL,65-74,Male,982.2,42.6,69.3,7787.95,164.03,29568.34,26144.49,27233.75,7.30,545.54
1999,Florida,FL,75-84,Male,2597.6,42.6,69.3,7784.47,163.98,29555.33,26132.97,27221.79,7.30,546.25
1999,Florida,FL,85+,Female,7695,42.6,69.3,7784.45,163.98,29555.37,26132.98,27221.84,7.30,546.15
1999,Florida,FL,45-54,Female,69.8,42.6,69.3,7787.84,164.03,29567.6,26143.91,27233.04,7.30,545.94
1999,Florida,FL,55-64,Female,194.6,42.6,69.3,7790.02,164.05,29575.31,26150.84,27240.1,7.30,545.95
1999,Florida,FL,55-64,Male,445,42.6,69.3,7781.51,163.94,29545.09,26123.72,27212.44,7.29,546.01
1999,Florida,FL,65-74,Female,542.1,42.6,69.3,7771.29,163.8,29508.83,26091.18,27179.29,7.31,546.02
1999,Florida,FL,75-84,Female,1820.2,42.6,69.3,7796.9,164.15,29599.62,26172.67,27262.33,7.33,546
1999,Florida,FL,35-44,Female,25.5,42.6,69.3,7840.42,164.74,29753.92,26311.17,27403.45,7.05,545.98
1999,Florida,FL,35-44,Male,56.9,42.6,69.3,7765.15,163.72,29487.08,26071.65,27159.39,8.63,546
1999,Georgia,GA,35-44,Male,65.6,44.4,68,7588.92,161.33,28862.42,25510.93,26588.04,10.07,546.05
1999,Georgia,GA,45-54,Male,214.1,44.4,68,7797.48,164.16,29601.7,26174.53,27264.23,9.75,546
1999,Georgia,GA,35-44,Female,36.9,44.4,68,8483.4,173.46,32033.04,28356.97,29488.06,9.79,545.84
1999,Georgia,GA,75-84,Male,3295.1,44.4,68,7954.87,166.29,30159.6,26675.32,27774.51,9.81,545.95
1999,Georgia,GA,85+,Male,8544.7,44.4,68,4794.53,123.4,18957.23,16619.77,17528.2,9.80,546.54
1999,Georgia,GA,65-74,Female,809.2,44.4,68,1176.39,74.3,6132.13,5107.61,5797.64,9.80,546.32
